tsp_func,num_verts,solution,time,memory,dist_type
Twice around the tree,5,217,1.4905134836832682e-05,151.890625,Euclides
Twice around the tree,5,294,4.605452219645182e-06,151.89453125,Manhattan
Christofides,5,195,3.003676732381185e-05,152.015625,Euclides
Christofides,5,260,7.045666376749674e-05,152.0234375,Manhattan
Branch and Bound,5,195,1.0013580322265625e-05,152.02734375,Euclides
Branch and Bound,5,260,6.7551930745442706e-06,152.02734375,Manhattan
Twice around the tree,6,279,4.482269287109375e-06,152.02734375,Euclides
Twice around the tree,6,336,3.0676523844401043e-06,152.02734375,Manhattan
Christofides,6,279,1.1257330576578776e-05,152.04296875,Euclides
Christofides,6,336,9.405612945556641e-06,152.05078125,Manhattan
Branch and Bound,6,279,2.9830137888590493e-05,152.0546875,Euclides
Branch and Bound,6,336,2.812941869099935e-05,152.0546875,Manhattan
Twice around the tree,7,255,4.430611928304036e-06,152.0546875,Euclides
Twice around the tree,7,330,3.2703081766764323e-06,152.0546875,Manhattan
Christofides,7,210,1.911322275797526e-05,152.0546875,Euclides
Christofides,7,292,1.7825762430826823e-05,152.0625,Manhattan
Branch and Bound,7,210,0.00017366409301757812,152.06640625,Euclides
Branch and Bound,7,258,0.0001753091812133789,152.06640625,Manhattan
Twice around the tree,8,309,4.820028940836588e-06,152.06640625,Euclides
Twice around the tree,8,414,3.7829081217447918e-06,152.06640625,Manhattan
Christofides,8,259,1.3379255930582682e-05,152.078125,Euclides
Christofides,8,338,1.5656153361002605e-05,152.0859375,Manhattan
Branch and Bound,8,259,0.0012632171312967936,152.09375,Euclides
Branch and Bound,8,336,0.0012333393096923828,152.09375,Manhattan
Twice around the tree,9,226,5.352497100830078e-06,152.09375,Euclides
Twice around the tree,9,288,4.287560780843099e-06,152.09375,Manhattan
Christofides,9,226,1.8115838368733724e-05,152.1015625,Euclides
Christofides,9,300,1.9506613413492838e-05,152.109375,Manhattan
Branch and Bound,9,226,0.010125664869944255,152.11328125,Euclides
Branch and Bound,9,288,0.010257184505462646,152.11328125,Manhattan
Twice around the tree,10,311,5.944569905598958e-06,152.11328125,Euclides
Twice around the tree,10,508,4.923343658447265e-06,152.11328125,Manhattan
Christofides,10,280,1.9172827402750652e-05,152.11328125,Euclides
Christofides,10,396,3.058513005574544e-05,152.11328125,Manhattan
Branch and Bound,10,280,0.09171359936396281,152.1171875,Euclides
Branch and Bound,10,366,0.09212435086568196,152.1171875,Manhattan
Twice around the tree,11,228,6.496906280517578e-06,152.1171875,Euclides
Twice around the tree,11,298,5.451838175455729e-06,152.1171875,Manhattan
Christofides,11,222,2.24153200785319e-05,152.12890625,Euclides
Christofides,11,298,1.9379456837972005e-05,152.13671875,Manhattan
Branch and Bound,11,217,0.6662062247594197,152.14453125,Euclides
Branch and Bound,11,278,0.6762264927228292,152.1484375,Manhattan
Twice around the tree,12,407,7.804234822591146e-06,152.15234375,Euclides
Twice around the tree,12,462,6.341934204101563e-06,152.15234375,Manhattan
Christofides,12,383,3.653764724731445e-05,152.16796875,Euclides
Christofides,12,442,5.4434935251871744e-05,152.1796875,Manhattan
Branch and Bound,12,332,11.363189061482748,152.1796875,Euclides
Branch and Bound,12,434,11.295878966649374,152.48828125,Manhattan
Twice around the tree,13,364,8.058547973632812e-06,152.48828125,Euclides
Twice around the tree,13,478,7.053216298421224e-06,152.48828125,Manhattan
Christofides,13,357,2.425511678059896e-05,152.48828125,Euclides
Christofides,13,424,3.180106480916341e-05,152.48828125,Manhattan
Branch and Bound,13,334,62.862146532535554,152.48828125,Euclides
Branch and Bound,13,396,43.85790657202403,153.5703125,Manhattan
Twice around the tree,14,293,8.912881215413411e-06,153.640625,Euclides
Twice around the tree,14,334,7.911523183186848e-06,153.640625,Manhattan
Christofides,14,243,2.4799505869547526e-05,153.640625,Euclides
Christofides,14,288,3.069241841634114e-05,153.640625,Manhattan
